epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,446.914,1.23665,1.88716,1.3699,0.6486,0.39033,0.4039,0.25395,1.17509,11.0276,1.32122,0.00333091,0.00333091,0.00333091
2,852.881,1.23333,1.31149,1.34663,0.49397,0.37844,0.37255,0.22281,1.32789,14.2387,1.44747,0.00657627,0.00657627,0.00657627
3,1253.9,1.34775,1.47907,1.42725,0.40158,0.3271,0.28036,0.15642,1.45741,9.79208,1.60571,0.00973364,0.00973364,0.00973364
4,1654.81,1.40959,1.57905,1.47312,0.57091,0.31313,0.35126,0.19961,1.39861,15.2928,1.53416,0.009604,0.009604,0.009604
5,2054.4,1.35257,1.47236,1.43991,0.58923,0.32896,0.35562,0.20619,1.33524,11.792,1.4778,0.009472,0.009472,0.009472
6,2455.46,1.31293,1.37913,1.41109,0.5703,0.37368,0.40908,0.2488,1.28138,14.4124,1.44242,0.00934,0.00934,0.00934
7,2855.3,1.28694,1.31634,1.38364,0.47218,0.3961,0.41555,0.25321,1.26872,14.2223,1.4296,0.009208,0.009208,0.009208
8,3255.74,1.24841,1.25193,1.36093,0.55402,0.42127,0.44379,0.27415,1.22542,12.2555,1.38602,0.009076,0.009076,0.009076
9,3657.13,1.23313,1.22355,1.3526,0.60412,0.44822,0.47798,0.29366,1.18567,14.8036,1.35947,0.008944,0.008944,0.008944
10,4058.52,1.2175,1.18175,1.33596,0.5807,0.43897,0.46126,0.28223,1.18868,15.022,1.35987,0.008812,0.008812,0.008812
11,4459.7,1.19567,1.14839,1.32484,0.57883,0.42525,0.465,0.2954,1.15731,15.7997,1.32783,0.00868,0.00868,0.00868
12,4860.98,1.18143,1.12348,1.31495,0.59851,0.45251,0.47191,0.30228,1.14146,15.5836,1.32168,0.008548,0.008548,0.008548
13,5261.8,1.17123,1.10258,1.30514,0.61637,0.46284,0.50702,0.3182,1.13125,16.3269,1.31643,0.008416,0.008416,0.008416
14,5694.38,1.15721,1.08257,1.30137,0.64368,0.46507,0.51089,0.3254,1.11417,15.4161,1.30466,0.008284,0.008284,0.008284
15,6113.34,1.14136,1.05949,1.29004,0.61194,0.4929,0.51697,0.33564,1.12231,17.3259,1.30959,0.008152,0.008152,0.008152
16,6519.46,1.13417,1.04074,1.28281,0.6085,0.49689,0.50141,0.32381,1.09873,16.4794,1.27497,0.00802,0.00802,0.00802
17,6925.55,1.124,1.02107,1.27537,0.63501,0.49143,0.5235,0.33817,1.08775,16.8404,1.27566,0.007888,0.007888,0.007888
18,7332.78,1.11425,1.00597,1.27543,0.63058,0.50573,0.53071,0.34977,1.0731,19.1335,1.25917,0.007756,0.007756,0.007756
19,7737.46,1.10713,0.99482,1.26429,0.64039,0.50824,0.5341,0.35011,1.07428,15.6201,1.26368,0.007624,0.007624,0.007624
20,8143.71,1.09499,0.97158,1.25524,0.64526,0.49467,0.52713,0.35115,1.0652,17.324,1.25698,0.007492,0.007492,0.007492
21,8547.79,1.09122,0.96358,1.25067,0.64182,0.50692,0.53256,0.35368,1.04881,17.9352,1.236,0.00736,0.00736,0.00736
22,8952.01,1.07526,0.94331,1.24681,0.6651,0.51262,0.54217,0.35799,1.04758,18.1897,1.2417,0.007228,0.007228,0.007228
23,9356.16,1.07407,0.94047,1.24422,0.65676,0.51137,0.55288,0.36666,1.03877,18.1166,1.23108,0.007096,0.007096,0.007096
24,9759.95,1.06447,0.92862,1.23745,0.64059,0.51675,0.54478,0.36497,1.03481,18.2213,1.22546,0.006964,0.006964,0.006964
25,10163.9,1.06348,0.92069,1.23755,0.65604,0.52325,0.55784,0.3725,1.02908,18.4309,1.22475,0.006832,0.006832,0.006832
26,10567,1.05851,0.91242,1.23203,0.5742,0.51926,0.56603,0.37847,1.02072,19.6861,1.21961,0.0067,0.0067,0.0067
27,10970.5,1.04618,0.89303,1.22495,0.65474,0.53397,0.57238,0.38449,1.01281,19.2429,1.2143,0.006568,0.006568,0.006568
28,11378.9,1.0431,0.88811,1.22168,0.65564,0.53139,0.57323,0.38437,1.01944,19.3978,1.21499,0.006436,0.006436,0.006436
29,11787,1.03078,0.87369,1.21638,0.69289,0.51934,0.57486,0.38573,1.01348,18.7369,1.21204,0.006304,0.006304,0.006304
30,12191.8,1.02944,0.86706,1.2136,0.6903,0.53118,0.5806,0.39156,1.00584,18.8039,1.20743,0.006172,0.006172,0.006172
31,12595.3,1.02574,0.85827,1.20632,0.68051,0.54796,0.58125,0.39592,0.99754,18.7003,1.20193,0.00604,0.00604,0.00604
32,1040.08,1.00699,0.83822,1.2018,0.66542,0.55006,0.5781,0.39485,0.99648,19.261,1.20222,0.005908,0.005908,0.005908
33,1780.5,1.01289,0.83514,1.19735,0.68932,0.5312,0.5844,0.39729,0.99458,19.7195,1.19851,0.005776,0.005776,0.005776
34,2186.71,1.00554,0.83253,1.1977,0.71425,0.52098,0.58962,0.401,0.99554,19.7976,1.20139,0.005644,0.005644,0.005644
35,2590.9,1.00262,0.82053,1.19438,0.7144,0.5212,0.59103,0.40178,0.99104,20.273,1.19719,0.005512,0.005512,0.005512
36,2994.42,0.99019,0.81496,1.19144,0.7125,0.52465,0.59369,0.4041,0.98844,20.3621,1.19607,0.00538,0.00538,0.00538
